Wavelength,Intensity,Absorbance,Reflectance
1479.4910953604906,6114,1.553958,0.027928138
1481.647973531975,6504,1.5252959,0.029833494
1482.7256876326555,4573,1.6773719,0.02101978
1483.802918409962,7833,1.4427577,0.036077987
1484.8796658638944,7019,1.4895215,0.032395035
1485.9559299944524,5449,1.5986052,0.025199668
1487.0317108016363,5674,1.5804217,0.026277157
1488.1070082854458,7929,1.4344807,0.036772173
1490.2561532829423,6878,1.4950289,0.03198683
1491.3300007966293,5252,1.611568,0.024458623
1492.4033649869418,7277,1.4693433,0.033935692
1493.4762458538803,7590,1.4503384,0.035453703
1494.5486433974445,6662,1.5062588,0.031170314
1495.6205576176344,5331,1.6023369,0.024984065
1497.7629360878916,5134,1.617132,0.024147272
1498.833400337959,8447,1.4001063,0.03980097
1499.903381264652,7127,1.4731218,0.033641726
1500.9728788679706,4992,1.6267996,0.023615677
1502.0418931479153,6593,1.5048968,0.031268228
1503.1104241044854,5586,1.5757837,0.026559277
1505.2460360475034,6159,1.5313005,0.029423848
1506.313117033951,6324,1.5187802,0.030284455
1507.3797146970244,4680,1.6484455,0.022467487
1508.4458290367234,4513,1.6631447,0.021719774
1509.5114600530483,5891,1.5463369,0.028422551
1510.576607745999,7688,1.4296132,0.037186626
1511.6412721155752,4996,1.6157042,0.024226788
1513.7691508846056,6891,1.4736389,0.033601686
1514.8323652840593,6417,1.5032805,0.031384803
1515.8950963601387,5537,1.5660298,0.02716253
1516.9573441128439,5106,1.6007972,0.025072798
1518.019108542175,8096,1.4003131,0.039782025
1519.0803896481316,7008,1.462697,0.03445902
1521.2015018899226,5121,1.5981048,0.025228715
1522.2613330257566,5505,1.566287,0.027146444
1523.3206808382165,6343,1.504244,0.03131526
1524.379545327302,6436,1.4974142,0.03181162
1525.4379264930135,6226,1.5113121,0.030809732
1526.4958243353506,6233,1.5101315,0.0308936
1528.610170049902,4534,1.6469564,0.022544652
1529.6666179221165,5904,1.5317038,0.029396534
1530.7225824709567,7440,1.4306866,0.037094835
1531.7780636964226,8003,1.3983934,0.03995826
1532.8330615985142,3165,1.8007019,0.015823338
1533.8875761772317,4996,1.6018796,0.025010388
1534.941607432575,7518,1.4238254,0.037685532
1537.0482199731387,6941,1.4572412,0.034894653
1538.1008012583593,5069,1.5931051,0.025520839
1539.1528992202057,6104,1.511774,0.030776989
1540.2045138586777,7412,1.4266398,0.037442096
1541.2556451737755,6834,1.4610856,0.034587122
1542.306293165499,4081,1.6841756,0.020693047
1544.4061391788234,5504,1.552799,0.028002767
1545.4553372004243,7270,1.4312088,0.03705025
1546.5040518986511,6505,1.4788581,0.033200294
1547.5522832735035,8263,1.3743709,0.042230774
1548.6000313249815,7226,1.4320133,0.036981687
1549.6472960530855,5180,1.5758095,0.0265577
1551.7403755391706,6627,1.4672698,0.0340981
1552.786190297152,6014,1.508692,0.030996166
1553.831521731759,6364,1.4833927,0.03285544
1554.8763698429916,6178,1.4955367,0.031949442
1555.9207346308503,6549,1.4692,0.03394689
1556.9646160953346,6886,1.4463937,0.03577719
1558.0080142364445,6378,1.4786552,0.03321581
1560.093360548542,5514,1.5401688,0.02882911
1561.1353087195293,5300,1.5567234,0.02775087
1562.1767735671424,2450,1.8911687,0.012847876
1563.2177550913814,4894,1.590003,0.025703782
1564.258253292246,8198,1.3652856,0.043123536
1565.2982681697365,3694,1.710614,0.019470902
1567.3768479545945,7821,1.3830662,0.041393656
1568.4154128619623,6737,1.447135,0.03571618
1569.4534944459558,5090,1.5681533,0.027030041
1570.491092706575,5985,1.4970683,0.031836968
1571.52820764382,2198,1.9311727,0.0117172925
1572.5648392576907,4751,1.5954767,0.02538185
1574.6366525153096,8372,1.3475375,0.044922356
1575.6718341590577,8163,1.3576164,0.043891817
1576.7065324794314,5930,1.4955513,0.031948365
1577.740747476431,6083,1.4835255,0.032845397
1578.7744791500563,5896,1.4961163,0.031906832
1579.8077275003075,6625,1.444509,0.035932787
1580.8404925271843,6685,1.4396102,0.036340408
1582.9045726108154,6716,1.4356701,0.036671598
1583.9358876675697,6156,1.4725065,0.033689417
1584.9667194009494,6200,1.4683926,0.03401006
1585.9970678109553,6705,1.4333575,0.0368674
1587.0269328975867,6111,1.4726088,0.033681482
1588.056314660844,5153,1.5454457,0.028480943
1590.1136282172356,4914,1.5636877,0.027309407
1591.14156001037,3880,1.665027,0.02162584
1592.1690084801305,5196,1.5369145,0.029045945
1593.1959736265167,6913,1.4116309,0.03875869
1594.2224554495283,6184,1.4590163,0.03475231
1595.2484539491659,6787,1.4175891,0.03823059
1597.2990009783184,6092,1.4620832,0.03450776
1598.3235495078334,5009,1.5456827,0.028465403
1599.347614713974,3863,1.6570876,0.022024823
1600.3711965967404,4843,1.5574021,0.027707534
1601.3942951561326,5784,1.4787775,0.033206455
